service_id,date,exception_type
B_SEPT22-D05-Jeu-Ven-00-0001100-B_SEPT22-D05-L-Ma-Me-00-1110000,20230427,1
B_SEPT22-D05-Jeu-Ven-00-0001100-B_SEPT22-D05-L-Ma-Me-00-1110000,20230428,1
B_SEPT22-D05-Jeu-Ven-00-0001100-B_SEPT22-D05-L-Ma-Me-00-1110000,20230519,1
B_SEPT22-D05-Jeu-Ven-00-0001100-B_SEPT22-D05-L-Ma-Me-00-1110000,20230426,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230504,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230505,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230511,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230512,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230429,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230506,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230513,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230520,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230427,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230428,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,20230519,1
B_SEPT22-TAD04-Semaine-00-0010000,20230508,2
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230504,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230505,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230511,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230512,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230429,1
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,20230506,1
