route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
A,5,A,Porte de Plouzané - Portes de Gouesnou/Guipavas,,0,,de007e,ffffff,1
101,5,101,Ligne de remplacement du tramway,,3,,ef1452,ffffff,2
C,5,C,Jean Moulin - Ateliers,,6,,ea6758,ffffff,3
01,5,01,Gare - Hôpital Cavale,,3,,e9474f,ffffff,4
02,5,02,Technopôle - Fort Montbarey - Lambézellec,,3,,ebae06,000000,5
03,5,03,Océanopolis - AFPA,,3,,ed6c18,ffffff,6
04,5,04,Liberté - Porte de Gouesnou,,3,,65378d,ffffff,7
05,5,05,Port de commerce - Provence,,3,,ba8ec0,000000,8
06,5,06,Fort Montbarey - Recouvrance,,3,,e99bc3,000000,9
10,6,10,PLOUZANE Bourg - BREST Hôpital Cavale,,3,,174d7a,ffffff,10
11,5,11,PLOUZANE Bourg - PLOUZANE Piccard,,3,,8397b1,ffffff,11
12,6,12,GUILERS Roberval - BREST Liberté,,3,,3789a5,ffffff,12
13,6,13,BOHARS Petite Gare - BREST Liberté,,3,,13558e,ffffff,13
14,5,14,BOHARS Petite Gare - BREST Strasbourg,,3,,2e835d,ffffff,14
15,6,15,GOUESNOU Lantel - BREST Strasbourg,,3,,13999a,ffffff,15
16,6,16,GUIPAVAS Anne de Bretagne - BREST Liberté,,3,,329542,ffffff,16
17,6,17,LE RELECQ-KERHUON Kerjean - BREST Strasbourg,,3,,66b332,ffffff,17
18,5,18,LE RELECQ-KERHUON Danton - Brest Laforgue,,3,,719f2e,ffffff,18
19,6,19,PLOUGASTEL Ty ar Menez - BREST Gare,,3,,b3b113,ffffff,19
20,6,20,Porte de GOUESNOU - Aéroport Brest Bretagne,,3,,bc455d,ffffff,20
21,5,21,PLOUZANE Mairie  - BREST Bordenave,,3,,90addb,ffffff,21
22,5,22,GUILERS Roberval - BREST Quatre Pompes,,3,,6190cb,ffffff,22
23,5,23,Porte de GOUESNOU - BREST Quatre Pompes,,3,,567ebf,ffffff,23
25,5,25,Porte de GOUESNOU via Z.A de Kergaradec,,3,,93c24d,ffffff,24
26,5,26,PLOUGASTEL Calvaire - BREST Liberté,,3,,669966,ffffff,25
