route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A,B_SEPT22-PONTA01L-Semaine-10,15927589,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927590,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927591,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927592,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927593,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927594,Porte Guipavas,,0,,A_0_A0041_541A539893033F0CF992FD7D9451418C_CHAT_TA_PTGUI_TA_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927525,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927526,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927527,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927528,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927529,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927530,Porte Gouesnou,,0,,A_0_A0037_D06587A58C27C3E35F899D488024454A_CHAT_TA_PTGOU_TR_14,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927931,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927932,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927934,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927935,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927936,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927937,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927939,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927941,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927943,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927945,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927947,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927948,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927506,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927507,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927508,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927509,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927510,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927511,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927512,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927513,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927514,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927515,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
A,B_SEPT22-PONTA01L-Semaine-10,15927516,Porte Gouesnou,,0,,A_0_A0024_B0EEA2CA0B0B65C14C9466F33F0A3F02_PTPLZ_TA_PTGOU_TR_25,1,0
