service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TEL_JANV21-CA01-Mardi-00,0,1,0,0,0,0,0,20230405,20230425
B_SEPT22-B08-Samedi-00,0,0,0,0,0,1,0,20230408,20230429
PTA-A05gr-Jeudi-12,0,0,0,1,0,0,0,20230406,20230406
B_SEPT22-D05-Jeu-Ven-00-0001100-B_SEPT22-D05-L-Ma-Me-00-1110000,0,0,0,0,0,0,0,20230406,20230428
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010-B_SEPT22-D05-Jeu-Ven-00-0001100,0,0,0,0,0,0,0,20230406,20230429
GREVE-GB0604-Semaine-00,1,1,1,1,1,0,0,20230406,20230406
B_SEPT22-TAD04-Semaine-00-0010000,0,0,1,0,0,0,0,20230405,20230414
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-B08-Samedi-00-0000010,0,0,0,0,0,0,0,20230405,20230429
B_SEPT22-TAD04-Semaine-10-1111100,1,1,1,1,1,0,0,20230417,20230428
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000,0,0,0,0,0,0,0,20230404,20230428
B_SEPT22-TA06-Samedi-01,0,0,0,0,0,1,0,20230408,20230429
B_SEPT22-TLAC01-Semaine-01,1,1,1,1,1,0,0,20230405,20230405
GREVE-GT0604-Semaine-00,1,1,1,1,1,0,0,20230406,20230406
TEL_JANV21-CA01-Lundi-00,1,0,0,0,0,0,0,20230410,20230424
B_SEPT22-A05-Mercredi-11-0010000,0,0,1,0,0,0,0,20230405,20230412
B_SEPT22-TAD05-Samedi-00-0000010,0,0,0,0,0,1,0,20230408,20230429
B_SEPT22-TA07-Dimanche-14,0,0,0,0,0,0,1,20230410,20230430
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,0,0,0,0,0,0,0,20230404,20230430
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,0,0,0,0,0,0,0,20230404,20230430
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,0,0,0,0,0,0,0,20230404,20230430
PTA-A05gr-Jeudi-12-0001000,0,0,0,1,0,0,0,20230406,20230406
B_SEPT22-TAD04-Semaine-00-1101100,1,1,0,1,1,0,0,20230405,20230414
B_SEPT22-TAD04-Semaine-00-1111100-B_SEPT22-TAD04-Semaine-10-1111100,0,0,0,0,0,0,0,20230404,20230428
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10,0,0,0,0,0,0,0,20230404,20230428
B_SEPT22-TA07urb-Dimanche-10,0,0,0,0,0,0,1,20230409,20230409
B_SEPT22-A05-Jeu-Ven-11-0001000-B_SEPT22-A05-Lun-Mar-14-1100000,0,0,0,0,0,0,0,20230404,20230413
B_SEPT22-A05-Jeu-Ven-11-0001000,0,0,0,1,0,0,0,20230407,20230414
B_SEPT22-TA01-Semaine-00,1,1,1,1,1,0,0,20230411,20230428
B_SEPT22-PONT_A01-Semaine-13,1,1,1,1,1,0,0,20230407,20230407
B_SEPT22-TAD04-Semaine-00-1111100,1,1,1,1,1,0,0,20230405,20230414
TEL_JANV21-CA01-Vendredi-00,0,0,0,0,1,0,0,20230407,20230428
TEL_JANV21-CC01-Dimanche-00,0,0,0,0,0,0,1,20230409,20230430
B_SEPT22-TAD05-Samedi-00,0,0,0,0,0,1,0,20230408,20230429
TEL_JANV21-CB01-Samedi-00,0,0,0,0,0,1,0,20230408,20230429
B_SEPT22-C07-Dimanche-00,0,0,0,0,0,0,1,20230409,20230430
TEL_JANV21-CA01-Jeudi-00,0,0,0,1,0,0,0,20230406,20230427
B_SEPT22-B08-Samedi-00-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,0,0,0,0,0,0,0,20230406,20230429
B_SEPT22-TAD04-Semaine-00-B_SEPT22-TAD04-Semaine-10-B_SEPT22-TAD05-Samedi-00,0,0,0,0,0,0,0,20230404,20230429
B_SEPT22-A05-Jeu-Ven-11-0001100-B_SEPT22-A05-Lun-Mar-14-1100000,0,0,0,0,0,0,0,20230404,20230429
B_SEPT22-A05-Jeu-Ven-11-0000100-B_SEPT22-A05-Lun-Mar-14-0100000-B_SEPT22-A05-Mercredi-11-0010000,0,0,0,0,0,0,0,20230404,20230429
TEL_JANV21-CA01-Mercredi-00,0,0,1,0,0,0,0,20230405,20230426
B_SEPT22-A05-Jeu-Ven-11-0000100,0,0,0,0,1,0,0,20230407,20230414
