route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A,B_SEPT22-PONT_A01-Semaine-13,15893820,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893859,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893863,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893867,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893871,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893927,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893819,Château,,1,,A_1_A0050_06CCCF2DBB105FDFC835FFEB465971CD_PTGUI_TA_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893815,Château,,1,,A_1_A0047_4F203119CDB868055B384C7624287C82_PTGOU_TR_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893816,Château,,1,,A_1_A0047_4F203119CDB868055B384C7624287C82_PTGOU_TR_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893861,Château,,1,,A_1_A0047_4F203119CDB868055B384C7624287C82_PTGOU_TR_CHAT_TR_14,1,0
A,B_SEPT22-PONT_A01-Semaine-13,15893865,Château,,1,,A_1_A0047_4F203119CDB868055B384C7624287C82_PTGOU_TR_CHAT_TR_14,1,0
